Obs,Stp,Exp,Res,Var,StRes,Wt,LProb,Measure,Displ,Status,MPCat,E1,E2,E3,M1,M2,M3,text_id,rater_id,band
77,77,63.73,13.27,26.52,2.58,1,-4.92,0,0.5,1,63,20,45,3,-0.18,0,-0.17,Text20,R45,LR
63,63,57.49,5.51,25.73,1.09,1,-1.64,-0.24,0.21,1,53,20,45,4,-0.18,0,0.06,Text20,R45,GRA
63,63,57.79,5.21,25.96,1.02,1,-1.58,-0.23,0.2,1,53,20,45,5,-0.18,0,0.05,Text20,R45,HOL
63,63,69.96,-6.96,28.59,-1.3,1,-1.91,0.22,-0.24,1,73,28,45,2,0.29,0,0.07,Text28,R45,CC
83,83,76.78,6.22,29.38,1.15,1,-1.72,0.46,0.21,1,73,28,45,3,0.29,0,-0.17,Text28,R45,LR
85,85,70.39,14.61,28.45,2.74,1,-8.65,0.23,0.51,1,73,28,45,5,0.29,0,0.05,Text28,R45,HOL
43,43,48.04,-5.04,22.57,-1.06,1,-1.67,-0.69,-0.22,1,50,3,46,1,-0.7,0,-0.01,Text3,R46,TR
53,53,46.33,6.67,23.73,1.37,1,-1.95,-0.77,0.28,1,43,3,46,2,-0.7,0,0.07,Text3,R46,CC
60,60,51.44,8.56,18.46,1.99,1,-3.5,-0.53,0.46,1,53,3,46,3,-0.7,0,-0.17,Text3,R46,LR
53,53,46.42,6.58,23.7,1.35,1,-1.92,-0.76,0.28,1,43,3,46,4,-0.7,0,0.06,Text3,R46,GRA
48,48,46.7,1.3,23.61,0.27,1,-3.52,-0.75,0.06,1,43,3,46,5,-0.7,0,0.05,Text3,R46,HOL
63,63,71.47,-8.47,28.09,-1.6,1,-2.33,0.27,-0.3,1,73,16,46,1,0.27,0,-0.01,Text16,R46,TR
63,63,69.39,-6.39,28.73,-1.19,1,-1.78,0.2,-0.22,1,73,16,46,2,0.27,0,0.07,Text16,R46,CC
77,77,76.21,0.79,29.1,0.15,1,-1.79,0.44,0.03,1,73,16,46,3,0.27,0,-0.17,Text16,R46,LR
63,63,69.5,-6.5,28.71,-1.21,1,-1.81,0.2,-0.23,1,73,16,46,4,0.27,0,0.06,Text16,R46,GRA
64,64,69.83,-5.83,28.62,-1.09,1,-5.11,0.22,-0.2,1,73,16,46,5,0.27,0,0.05,Text16,R46,HOL
83,83,83.58,-0.58,26.8,-0.11,1,-1.07,0.7,-0.02,1,83,24,46,1,0.69,0,-0.01,Text24,R46,TR
73,73,81.56,-8.56,28.42,-1.61,1,-2.3,0.62,-0.3,1,83,24,46,2,0.69,0,0.07,Text24,R46,CC
83,83,87.79,-4.79,23.15,-1,1,-1.53,0.86,-0.21,1,87,24,46,3,0.69,0,-0.17,Text24,R46,LR
73,73,81.67,-8.67,28.34,-1.63,1,-2.33,0.63,-0.31,1,83,24,46,4,0.69,0,0.06,Text24,R46,GRA
77,77,81.99,-4.99,28.08,-0.94,1,-2.21,0.64,-0.18,1,83,24,46,5,0.69,0,0.05,Text24,R46,HOL
50,50,53.04,-3.04,19.01,-0.7,1,-1.6,-0.44,-0.16,1,53,8,47,1,-0.45,0,-0.01,Text8,R47,TR
47,47,51.69,-4.69,18.37,-1.09,1,-2.68,-0.51,-0.26,1,53,8,47,2,-0.45,0,0.07,Text8,R47,CC
53,53,56.7,-3.7,24.9,-0.74,1,-1.22,-0.27,-0.15,1,53,8,47,3,-0.45,0,-0.17,Text8,R47,LR
53,53,51.76,1.24,18.36,0.29,1,-0.96,-0.51,0.07,1,53,8,47,4,-0.45,0,0.06,Text8,R47,GRA
51,51,51.97,-0.97,18.35,-0.23,1,-4.56,-0.5,-0.05,1,53,8,47,5,-0.45,0,0.05,Text8,R47,HOL
60,60,64.13,-4.13,26.73,-0.8,1,-2.07,0.01,-0.15,1,63,17,47,1,0.01,0,-0.01,Text17,R47,TR
57,57,62.2,-5.2,26.14,-1.02,1,-2.47,-0.06,-0.2,1,63,17,47,2,0.01,0,0.07,Text17,R47,CC
70,70,68.84,1.16,28.81,0.22,1,-2.15,0.18,0.04,1,73,17,47,3,0.01,0,-0.17,Text17,R47,LR
63,63,62.3,0.7,26.15,0.14,1,-1.07,-0.06,0.03,1,63,17,47,4,0.01,0,0.06,Text17,R47,GRA
61,61,62.6,-1.6,26.18,-0.31,1,-4.14,-0.05,-0.06,1,63,17,47,5,0.01,0,0.05,Text17,R47,HOL
73,73,80.02,-7.02,29.4,-1.29,1,-1.88,0.57,-0.24,1,83,33,47,1,0.56,0,-0.01,Text33,R47,TR
63,63,77.85,-14.85,29.71,-2.72,1,-4.92,0.5,-0.5,1,73,33,47,2,0.56,0,0.07,Text33,R47,CC
77,77,84.67,-7.67,25.97,-1.51,1,-2.84,0.74,-0.3,1,83,33,47,3,0.56,0,-0.17,Text33,R47,LR
77,77,77.96,-0.96,29.73,-0.18,1,-1.79,0.5,-0.03,1,73,33,47,4,0.56,0,0.06,Text33,R47,GRA
65,65,78.3,-13.3,29.77,-2.44,1,-6.35,0.51,-0.45,1,83,33,47,5,0.56,0,0.05,Text33,R47,HOL
40,40,50.57,-10.57,19.2,-2.41,1,-3.92,-0.57,-0.55,1,53,9,48,1,-0.58,0,-0.01,Text9,R48,TR
40,40,49.09,-9.09,21.22,-1.97,1,-3.2,-0.65,-0.43,1,53,9,48,2,-0.58,0,0.07,Text9,R48,CC
47,47,53.72,-6.72,19.93,-1.5,1,-3.3,-0.4,-0.34,1,53,9,48,3,-0.58,0,-0.17,Text9,R48,LR
37,37,49.17,-12.17,21.1,-2.65,1,-5.2,-0.64,-0.58,1,53,9,48,4,-0.58,0,0.06,Text9,R48,GRA
48,48,49.41,-1.41,20.76,-0.31,1,-3.53,-0.63,-0.07,1,53,9,48,5,-0.58,0,0.05,Text9,R48,HOL
53,53,64.13,-11.13,26.73,-2.15,1,-3.32,0.01,-0.42,1,63,17,48,1,0.01,0,-0.01,Text17,R48,TR
50,50,62.2,-12.2,26.14,-2.39,1,-4.39,-0.06,-0.47,1,63,17,48,2,0.01,0,0.07,Text17,R48,CC
60,60,68.84,-8.84,28.81,-1.65,1,-3.15,0.18,-0.31,1,73,17,48,3,0.01,0,-0.17,Text17,R48,LR
53,53,62.3,-9.3,26.15,-1.82,1,-2.61,-0.06,-0.36,1,63,17,48,4,0.01,0,0.06,Text17,R48,GRA
58,58,62.6,-4.6,26.18,-0.9,1,-4.48,-0.05,-0.18,1,63,17,48,5,0.01,0,0.05,Text17,R48,HOL
63,63,83.25,-20.25,27.06,-3.89,1,-8.22,0.68,-0.75,1,83,27,48,1,0.68,0,-0.01,Text27,R48,TR
60,60,81.21,-21.21,28.67,-3.96,1,-9.59,0.61,-0.74,1,83,27,48,2,0.68,0,0.07,Text27,R48,CC
70,70,87.51,-17.51,23.51,-3.61,1,-7.78,0.85,-0.74,1,83,27,48,3,0.68,0,-0.17,Text27,R48,LR
73,73,81.32,-8.32,28.6,-1.56,1,-2.23,0.61,-0.29,1,83,27,48,4,0.68,0,0.06,Text27,R48,GRA
74,74,81.65,-7.65,28.35,-1.44,1,-5.14,0.63,-0.27,1,83,27,48,5,0.68,0,0.05,Text27,R48,HOL
